City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,puerto ayora,-0.7393,-90.3518,21.42,99,47,0.89,EC,1719714176
190,at taj,24.2049,23.2857,25.97,28,0,3.9,LY,1719714177
191,yallahs,17.8748,-76.5624,28.85,86,100,3.91,JM,1719714179
192,axim,4.8699,-2.2405,24.76,92,87,3.22,GH,1719714180
193,idri,27.5,13.2667,28.43,30,0,4.54,LY,1719714182
194,maqat,47.65,53.3167,17.39,58,0,4.75,KZ,1719714183
195,kletnya,53.3897,33.2171,16.95,89,62,1.32,RU,1719714184
196,jianguang,28.1938,115.7836,26.19,93,100,1.92,CN,1719714185
197,chengzhong,30.95,113.55,27.55,81,94,2.97,CN,1719714040
198,kangding,30.0513,101.9603,19.05,81,95,1.61,CN,1719714188
199,amahai,-3.3333,128.9167,27.9,77,62,1.33,ID,1719714189
200,san martin,-33.081,-68.4681,3.3,28,0,2.68,AR,1719714190
201,kirakira,-10.4544,161.9205,27.28,83,82,6.84,SB,1719714192
202,skanor med falsterbo,55.4,12.85,16.99,79,100,7.11,SE,1719714193
203,watford city,47.8022,-103.2832,16.75,72,0,2.57,US,1719714194
204,mount pearl,47.5166,-52.7813,11.19,92,100,3.6,CA,1719714196
205,lebu,-37.6167,-73.65,7.21,79,4,3.05,CL,1719714197
206,filey,54.21,-0.2892,13.21,89,100,0.45,GB,1719714198
207,yakeshi,49.2833,120.7333,24.11,26,0,5.44,CN,1719714199
208,polokwane,-23.9045,29.4688,6.47,81,100,1.54,ZA,1719714201
209,praia da vitoria,38.7333,-27.0667,22.09,83,100,4.92,PT,1719714202
210,padangsidempuan,1.3667,99.2667,24.49,85,99,0.6,ID,1719714203
211,vila velha,-20.3297,-40.2925,24.97,65,0,4.12,BR,1719714204
212,fale old settlement,-9.3852,-171.2468,28.86,77,18,6.08,TK,1719714206
213,broome,42.2506,-75.833,23.17,91,0,3.6,US,1719714207
214,fairfield,41.2668,-73.3162,23.58,86,100,3.09,US,1719714187
215,ashland,40.8167,-82.2665,25.98,89,84,2.87,US,1719714209
216,inverell,-29.7833,151.1167,16.17,98,100,3.13,AU,1719714211
217,selfoss,63.9331,-20.9971,10.47,88,100,2.2,IS,1719714214
218,thompson,55.7435,-97.8558,20.09,40,20,2.06,CA,1719714215
219,kingston,17.997,-76.7936,28.53,74,100,6.17,JM,1719714216
220,colonia,50.9333,6.95,18.03,88,75,2.06,DE,1719713926
221,hami,42.8,93.45,30.95,23,0,0.27,CN,1719714219
222,kwatarkwashi,12.1408,6.822,26.45,65,39,0.59,NG,1719714222
223,nasir,15.5894,32.5634,30.77,45,100,7.84,SD,1719714223
224,merritt,50.1123,-120.7942,23.51,37,100,1.34,CA,1719714224
225,kamyzyak,46.11,48.0736,19.99,37,0,2.0,RU,1719714225
226,lushun,38.8,121.2667,29.12,80,3,4.47,CN,1719714227
227,tvoroyri,61.5556,-6.8111,8.99,92,50,9.64,FO,1719714228
228,zhaotong,27.3167,103.7167,19.66,83,100,1.18,CN,1719714231
229,buka,40.8108,69.1986,24.58,33,86,2.46,UZ,1719714232
230,nadym,65.5333,72.5167,12.93,61,7,1.82,RU,1719714233
231,port saint john's,-31.6229,29.5448,20.09,44,86,5.08,ZA,1719714235
232,tobelo,1.7284,128.0095,28.96,73,100,0.41,ID,1719714236
233,vikulovo,56.8167,70.6107,17.2,86,52,2.82,RU,1719714237
234,toledo,39.8333,-4.0,17.17,77,100,1.81,ES,1719714239
